year,program_code,program_name,organizer_name,organizer_name_normalized,agenda_captured,papers_total,source_url
2023,PPL,Personnel Economics,Mitchell Hoffman,mitchell hoffman,1,15,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PPL
2023,PPL,Personnel Economics,Christopher T. Stanton,christopher t stanton,1,15,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PPL
2023,POL,Political Economy,Matilde Bombardini,matilde bombardini,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI23POL
2023,POL,Political Economy,Ernesto Dal Bó,ernesto dal bo,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI23POL
2023,POL,Political Economy,Suresh Naidu,suresh naidu,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI23POL
2023,POL,Political Economy,Thomas R. Palfrey,thomas r palfrey,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI23POL
2023,PE,Public Economics,Michael C. Best,michael c best,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PE
2023,PE,Public Economics,Raj Chetty,raj chetty,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PE
2023,PE,Public Economics,Eric Chyn,eric chyn,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PE
2023,PE,Public Economics,Tatiana Homonoff,tatiana homonoff,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PE
2023,PE,Public Economics,Maria Polyakova,maria polyakova,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PE
2023,PE,Public Economics,Danny Yagan,danny yagan,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PE
2023,REAL,Real Estate,Tomasz Piskorski,tomasz piskorski,1,17,https://conference.nber.org/agenda/simple_printable?conf_id=SI23REAL
2023,REAL,Real Estate,Maisy Wong,maisy wong,1,17,https://conference.nber.org/agenda/simple_printable?conf_id=SI23REAL
2023,RISK,Risks of Financial Institutions,Mark Carey,mark carey,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI23RISK
2023,RISK,Risks of Financial Institutions,René M. Stulz,rene m stulz,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI23RISK
2023,SIP,Science of Science Funding,Paula Stephan,paula stephan,1,10,https://conference.nber.org/agenda/simple_printable?conf_id=SI23SF
2023,SIP,Science of Science Funding,Reinhilde Veugelers,reinhilde veugelers,1,10,https://conference.nber.org/agenda/simple_printable?conf_id=SI23SF
2023,URB,Urban Economics,Edward L. Glaeser,edward l glaeser,1,24,https://conference.nber.org/agenda/simple_printable?conf_id=SI23URB
2024,EFMPL,Aggregate Labor Market,Philipp Kircher,philipp kircher,1,18,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFMPL
2024,EFMPL,Aggregate Labor Market,Guido Menzio,guido menzio,1,18,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFMPL
2024,EFMPL,Aggregate Labor Market,Giuseppe Moscarini,giuseppe moscarini,1,18,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFMPL
2024,AG,Aging,David M. Cutler,david m cutler,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24AG
2024,AG,Aging,Kosali I. Simon,kosali i simon,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24AG
2024,AG,Aging,Jonathan S. Skinner,jonathan s skinner,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24AG
2024,AP,Asset Pricing,Ralph S. J. Koijen,ralph s j koijen,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24AP
2024,AP,Asset Pricing,Sydney C. Ludvigson,sydney c ludvigson,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24AP
2024,EFBEM,Behavioral Macro,Andrew Caplin,andrew caplin,1,6,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFBEM
2024,EFBEM,Behavioral Macro,Ulrike Malmendier,ulrike malmendier,1,6,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFBEM
2024,HPC,Big Data and High-Performance Computing,Toni Whited,toni whited,1,9,https://conference.nber.org/agenda/simple_printable?conf_id=SI24HPC
2024,HPC,Big Data and High-Performance Computing,Mao Ye,mao ye,1,9,https://conference.nber.org/agenda/simple_printable?conf_id=SI24HPC
2024,CRIWPC,CRIW Pre-Conference,Susan N. Houseman,susan n houseman,0,,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CRIWPC
2024,CRIWPC,CRIW Pre-Conference,Anne Polivka,anne polivka,0,,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CRIWPC
2024,CRIWPC,CRIW Pre-Conference,Ayşegül Şahin,aysegul sahin,0,,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CRIWPC
2024,EFEL,Capital Markets and the Economy,Janice C. Eberly,janice c eberly,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFEL
2024,EFEL,Capital Markets and the Economy,Deborah J. Lucas,deborah j lucas,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFEL
2024,CH,Children and Families,Janet Currie,janet currie,1,22,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CH
2024,CH,Children and Families,Anna Aizer,anna aizer,1,22,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CH
2024,CRIW,Conference on Research in Income and Wealth,Katharine G. Abraham,katharine g abraham,1,18,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRCR
2024,CRIW,Conference on Research in Income and Wealth,Susanto Basu,susanto basu,1,18,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRCR
2024,CRIW,Conference on Research in Income and Wealth,David M. Byrne,david m byrne,1,18,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRCR
2024,CF,Corporate Finance,Antoinette Schoar,antoinette schoar,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CF
2024,CF,Corporate Finance,Amir Sufi,amir sufi,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CF
2024,DEV,Development Economics,Shawn Cole,shawn cole,1,19,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DEV
2024,DEV,Development Economics,Oeindrila Dube,oeindrila dube,1,19,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DEV
2024,DEV,Development Economics,Andrew Foster,andrew foster,1,19,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DEV
2024,DEV,Development Economics,Seema Jayachandran,seema jayachandran,1,19,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DEV
2024,DEV,Development Economics,Supreet Kaur,supreet kaur,1,19,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DEV
2024,DEV,Development Economics,Kaivan Munshi,kaivan munshi,1,19,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DEV
2024,DEV,Development Economics,Daniel Xu,daniel xu,1,19,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DEV
2024,DAE,Development of the American Economy,Martha J. Bailey,martha j bailey,1,31,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DAE
2024,DAE,Development of the American Economy,Leah Platt Boustan,leah platt boustan,1,31,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DAE
2024,DAE,Development of the American Economy,William J. Collins,william j collins,1,31,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DAE
2024,DAE,Development of the American Economy,Joshua K. Hausman,joshua k hausman,1,31,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DAE
2024,DAE,Development of the American Economy,Taylor Jaworski,taylor jaworski,1,31,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DAE
2024,PRIT,Digital Economics and Artificial Intelligence,Erik Brynjolfsson,erik brynjolfsson,1,24,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRIT
2024,PRIT,Digital Economics and Artificial Intelligence,Avi Goldfarb,avi goldfarb,1,24,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRIT
2024,PRIT,Digital Economics and Artificial Intelligence,Catherine Tucker,catherine tucker,1,24,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRIT
2024,DEM,Dynamic Equilibrium Models,S. Borağan Aruoba,s boragan aruoba,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFSF
2024,DEM,Dynamic Equilibrium Models,Luigi Bocola,luigi bocola,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFSF
2024,DEM,Dynamic Equilibrium Models,Jesús Fernández-Villaverde,jesus fernandez-villaverde,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFSF
2024,DEM,Dynamic Equilibrium Models,Frank Schorfheide,frank schorfheide,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFSF
2024,DEM,Dynamic Equilibrium Models,Christian K. Wolf,christian k wolf,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFSF
2024,EFEG,EFG Program Meeting,Ellen McGrattan,ellen mcgrattan,1,6,https://conference.nber.org/agenda/simple_printable?conf_id=EFGs24
2024,EFEG,EFG Program Meeting,Ludwig Straub,ludwig straub,1,6,https://conference.nber.org/agenda/simple_printable?conf_id=EFGs24
2024,EFG,Economic Growth,Ufuk Akcigit,ufuk akcigit,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFEG
2024,EFG,Economic Growth,Francisco J. Buera,francisco j buera,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFEG
2024,EFG,Economic Growth,David Lagakos,david lagakos,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFEG
2024,CRI,Economics of Crime,Jens Ludwig,jens ludwig,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CRI
2024,CRI,Economics of Crime,Crystal Yang,crystal yang,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CRI
