year,program_code,conference_id,http_status,agenda_captured,papers_parsed,html_bytes,source_url
2022,HC,SI22HC,200,1,11,15755,https://conference.nber.org/agenda/simple_printable?conf_id=SI22HC
2022,HE,SI22HE,200,1,10,11743,https://conference.nber.org/agenda/simple_printable?conf_id=SI22HE
2022,HF,SI22HF,200,1,15,22950,https://conference.nber.org/agenda/simple_printable?conf_id=SI22HF
2022,IFMDS,SI22IFMDS,200,1,4,5381,https://conference.nber.org/agenda/simple_printable?conf_id=SI22IFMDS
2022,PRIT,SI22PRIT,200,1,28,33163,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PRIT
2022,IPM,SI22EFCE,200,1,20,23457,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFCE
2022,EFDIS,SI22EFDIS,200,1,8,10967,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFDIS
2022,IO,SI22IO,200,1,13,17383,https://conference.nber.org/agenda/simple_printable?conf_id=SI22IO
2022,PRINN,SI22PRINN,200,1,11,17406,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PRINN
2022,IFM,SI22IFM,200,1,12,20708,https://conference.nber.org/agenda/simple_printable?conf_id=SI22IFM
2022,ITI,SI22ITI,200,1,15,26579,https://conference.nber.org/agenda/simple_printable?conf_id=SI22ITI
2022,ITM,SI22ITM,200,1,4,6585,https://conference.nber.org/agenda/simple_printable?conf_id=SI22ITM
2022,LS,SI22LS,200,1,25,33973,https://conference.nber.org/agenda/simple_printable?conf_id=SI22LS
2022,LE,SI22LE,200,1,11,17069,https://conference.nber.org/agenda/simple_printable?conf_id=SI22LE
2022,EFMPL,SI22EFMPL,200,1,18,22503,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFMPL
2022,MPF,SI22MPF,200,1,8,10751,https://conference.nber.org/agenda/simple_printable?conf_id=SI22MPF
2022,EFMB,SI22EFMB,200,1,6,10266,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFMB
2022,MEFM,SI22MEFM,200,1,9,14063,https://conference.nber.org/agenda/simple_printable?conf_id=SI22MEFM
2022,PRMP,SI22PRMP,200,1,7,11481,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PRMP
2022,EFMM,SI22EFMM,200,1,16,21461,https://conference.nber.org/agenda/simple_printable?conf_id=SI22EFMM
2022,ME,SI22ME,200,1,16,19675,https://conference.nber.org/agenda/simple_printable?conf_id=SI22ME
2022,PPL,SI22PPL,200,1,15,16935,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PPL
2022,POL,SI22POL,200,1,11,16629,https://conference.nber.org/agenda/simple_printable?conf_id=SI22POL
2022,PE,SI22PE,200,1,11,13800,https://conference.nber.org/agenda/simple_printable?conf_id=SI22PE
2022,REAL,SI22REAL,200,1,16,21372,https://conference.nber.org/agenda/simple_printable?conf_id=SI22REAL
2022,RISK,SI22RISK,200,1,12,17427,https://conference.nber.org/agenda/simple_printable?conf_id=SI22RISK
2022,SIP,SI22SF,200,1,12,20373,https://conference.nber.org/agenda/simple_printable?conf_id=SI22SF
2022,URB,SI22URB,200,1,28,33436,https://conference.nber.org/agenda/simple_printable?conf_id=SI22URB
2023,EFMPL,SI23EFMPL,200,1,18,23166,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFMPL
2023,AG,SI23AG,200,1,12,18252,https://conference.nber.org/agenda/simple_printable?conf_id=SI23AG
2023,AP,SI23AP,200,1,14,19906,https://conference.nber.org/agenda/simple_printable?conf_id=SI23AP
2023,EFBEM,SI23EFBEM,200,1,6,8185,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFBEM
2023,HPC,SI23HPC,200,1,8,13645,https://conference.nber.org/agenda/simple_printable?conf_id=SI23HPC
2023,CRIWPC,SI23CRIWPC,400,0,0,526,https://conference.nber.org/agenda/simple_printable?conf_id=SI23CRIWPC
2023,EFEL,SI23EFEL,200,1,11,16756,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFEL
2023,CH,SI23CH,200,1,21,24067,https://conference.nber.org/agenda/simple_printable?conf_id=SI23CH
2023,CRIW,SI23PRCR,200,1,16,24917,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRCR
2023,CF,SI23CF,200,1,10,16172,https://conference.nber.org/agenda/simple_printable?conf_id=SI23CF
2023,DEV,SI23DEV,200,1,19,23689,https://conference.nber.org/agenda/simple_printable?conf_id=SI23DEV
2023,DAE,SI23DAE,200,1,31,33432,https://conference.nber.org/agenda/simple_printable?conf_id=SI23DAE
2023,PRIT,SI23PRIT,200,1,23,26779,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRIT
2023,DEM,SI23EFSF,200,1,8,10000,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFSF
2023,EFEG,EFGs23,200,1,6,9501,https://conference.nber.org/agenda/simple_printable?conf_id=EFGs23
2023,EFG,SI23EFEG,200,1,12,19418,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFEG
2023,CRI,SI23CRI,200,1,12,18520,https://conference.nber.org/agenda/simple_printable?conf_id=SI23CRI
2023,ED,SI23ED,200,1,8,10221,https://conference.nber.org/agenda/simple_printable?conf_id=SI23ED
2023,EH,SI23EH,200,1,14,20419,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EH
2023,PENS,SI23PENS,200,1,7,10155,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PENS
2023,PESS,SI23ESS,200,1,6,9024,https://conference.nber.org/agenda/simple_printable?conf_id=SI23ESS
2023,ENT,SI23PRENT,200,1,8,12707,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRENT
2023,EEE,SI23EEE,200,1,23,28434,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EEE
2023,EFFE,SI23EFFE,200,1,16,21229,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFFE
2023,GE,SI23GE,200,1,14,16426,https://conference.nber.org/agenda/simple_printable?conf_id=SI23GE
2023,HF,SI23HF,200,1,15,21401,https://conference.nber.org/agenda/simple_printable?conf_id=SI23HF
2023,IFMDS,SI23IFMDS,200,1,5,5772,https://conference.nber.org/agenda/simple_printable?conf_id=SI23IFMDS
2023,IPM,SI23EFCE,200,1,20,22582,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFCE
2023,IO,SI23IO,200,1,14,19466,https://conference.nber.org/agenda/simple_printable?conf_id=SI23IO
2023,EFDIS,SI23EFDIS,200,1,12,15989,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFDIS
2023,PRINN,SI23PRINN,200,1,11,16881,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRINN
2023,IAP,SI23IAP,200,1,9,11677,https://conference.nber.org/agenda/simple_printable?conf_id=SI23IAP
2023,IFM,SI23IFM,200,1,11,20070,https://conference.nber.org/agenda/simple_printable?conf_id=SI23IFM
2023,ITI,SI23ITI,200,1,14,24246,https://conference.nber.org/agenda/simple_printable?conf_id=SI23ITI
2023,ITM,SI23ITM,200,1,4,6301,https://conference.nber.org/agenda/simple_printable?conf_id=SI23ITM
2023,LS,SI23LS,200,1,27,36893,https://conference.nber.org/agenda/simple_printable?conf_id=SI23LS
2023,LE,SI23LE,200,1,9,14898,https://conference.nber.org/agenda/simple_printable?conf_id=SI23LE
2023,MPF,SI23MPF,200,1,8,10843,https://conference.nber.org/agenda/simple_printable?conf_id=SI23MPF
